id,text,pedagogical_context,gesture_label,animation_clip,gesture_function,language,source
greeting_033,"Halo, selamat datang pada pembelajaran hari ini.",pembuka pembelajaran,greeting,Greeting,Menyapa dan membuka interaksi pembelajaran,id,synthetic_initial_dataset
emphasis_017,Poin utama yang harus Anda ingat adalah fungsi sistem dalam organisasi.,penekanan konsep penting,emphasis,Talking_1,Memberikan penekanan pada poin utama,id,synthetic_initial_dataset
greeting_004,"Halo, selamat datang pada pembelajaran hari ini.",pembuka pembelajaran,greeting,Greeting,Menyapa dan membuka interaksi pembelajaran,id,synthetic_initial_dataset
explain_038,"Konsep sistem pendukung keputusan berkaitan dengan manusia, proses, data, dan teknologi.",penjelasan materi,explain,Talking_6,Menjelaskan konsep atau materi pembelajaran,id,synthetic_initial_dataset
explain_006,"Dalam pembelajaran ini, kecerdasan buatan akan dijelaskan melalui beberapa tahapan.",penjelasan materi,explain,Talking_6,Menjelaskan konsep atau materi pembelajaran,id,synthetic_initial_dataset
pointing_013,Perhatikan diagram pemrograman web yang terlihat pada layar.,penunjukan objek atau bagian visual,pointing,Pointing,"Menunjuk diagram, gambar, papan, atau bagian penting",id,synthetic_initial_dataset
closing_015,"Pembelajaran hari ini selesai, silakan pelajari kembali materinya.",penutup pembelajaran,closing,Waving,Menutup sesi pembelajaran,id,synthetic_initial_dataset
appreciation_006,"Hebat, Anda sudah memahami konsep analisis sistem.",apresiasi atau penguatan positif,appreciation,Talking_5,Memberikan penghargaan terhadap jawaban atau partisipasi,id,synthetic_initial_dataset
idle_030,Saya akan menunggu respons dari Anda.,menunggu atau transisi,idle,Idle,Diam atau menunggu input berikutnya,id,synthetic_initial_dataset
idle_011,Silakan ketik pertanyaan berikutnya.,menunggu atau transisi,idle,Idle,Diam atau menunggu input berikutnya,id,synthetic_initial_dataset
explain_033,"Dalam pembelajaran ini, pemrograman web akan dijelaskan melalui beberapa tahapan.",penjelasan materi,explain,Talking_6,Menjelaskan konsep atau materi pembelajaran,id,synthetic_initial_dataset
appreciation_031,Jawaban tersebut benar dan sesuai dengan materi.,apresiasi atau penguatan positif,appreciation,Talking_5,Memberikan penghargaan terhadap jawaban atau partisipasi,id,synthetic_initial_dataset
emphasis_015,Poin utama yang harus Anda ingat adalah fungsi sistem dalam organisasi.,penekanan konsep penting,emphasis,Talking_1,Memberikan penekanan pada poin utama,id,synthetic_initial_dataset
emphasis_031,Catat bahwa kualitas informasi sangat dipengaruhi oleh kualitas data.,penekanan konsep penting,emphasis,Talking_1,Memberikan penekanan pada poin utama,id,synthetic_initial_dataset
appreciation_028,"Luar biasa, Anda dapat menjelaskan dengan runtut.",apresiasi atau penguatan positif,appreciation,Talking_5,Memberikan penghargaan terhadap jawaban atau partisipasi,id,synthetic_initial_dataset
emphasis_004,Bagian ini sangat penting untuk dipahami.,penekanan konsep penting,emphasis,Talking_1,Memberikan penekanan pada poin utama,id,synthetic_initial_dataset
closing_012,"Demikian pembelajaran hari ini, sampai bertemu pada sesi berikutnya.",penutup pembelajaran,closing,Waving,Menutup sesi pembelajaran,id,synthetic_initial_dataset
instruction_021,Silakan kerjakan latihan tentang kecerdasan buatan setelah penjelasan ini.,instruksi tugas atau aktivitas,instruction,Talking_4,Memberikan instruksi kepada siswa,id,synthetic_initial_dataset
explain_008,"Konsep keamanan informasi berkaitan dengan manusia, proses, data, dan teknologi.",penjelasan materi,explain,Talking_6,Menjelaskan konsep atau materi pembelajaran,id,synthetic_initial_dataset
appreciation_015,"Bagus, jawaban Anda sudah tepat.",apresiasi atau penguatan positif,appreciation,Talking_5,Memberikan penghargaan terhadap jawaban atau partisipasi,id,synthetic_initial_dataset
correction_019,Bagian ini perlu dikoreksi karena masih kurang sesuai.,koreksi atau umpan balik perbaikan,correction,Talking_7,Memberikan koreksi atau klarifikasi,id,synthetic_initial_dataset
instruction_022,Kerjakan soal latihan secara mandiri selama sepuluh menit.,instruksi tugas atau aktivitas,instruction,Talking_4,Memberikan instruksi kepada siswa,id,synthetic_initial_dataset
pointing_001,Perhatikan komponen utama yang ditunjukkan pada gambar.,penunjukan objek atau bagian visual,pointing,Pointing,"Menunjuk diagram, gambar, papan, atau bagian penting",id,synthetic_initial_dataset
explain_010,keamanan informasi adalah konsep yang digunakan untuk mengelola data dan informasi.,penjelasan materi,explain,Talking_6,Menjelaskan konsep atau materi pembelajaran,id,synthetic_initial_dataset
greeting_031,"Assalamualaikum, mari kita mulai kelas tentang pemrograman web.",pembuka pembelajaran,greeting,Greeting,Menyapa dan membuka interaksi pembelajaran,id,synthetic_initial_dataset
explain_020,"Secara umum, manajemen proyek TI dapat dipahami sebagai bagian penting dalam proses bisnis.",penjelasan materi,explain,Talking_6,Menjelaskan konsep atau materi pembelajaran,id,synthetic_initial_dataset
idle_020,"Baik, saya siap membantu Anda.",menunggu atau transisi,idle,Idle,Diam atau menunggu input berikutnya,id,synthetic_initial_dataset
appreciation_001,"Luar biasa, Anda dapat menjelaskan dengan runtut.",apresiasi atau penguatan positif,appreciation,Talking_5,Memberikan penghargaan terhadap jawaban atau partisipasi,id,synthetic_initial_dataset
idle_014,"Baik, saya siap membantu Anda.",menunggu atau transisi,idle,Idle,Diam atau menunggu input berikutnya,id,synthetic_initial_dataset
pointing_037,Perhatikan komponen utama yang ditunjukkan pada gambar.,penunjukan objek atau bagian visual,pointing,Pointing,"Menunjuk diagram, gambar, papan, atau bagian penting",id,synthetic_initial_dataset
appreciation_030,"Bagus, jawaban Anda sudah tepat.",apresiasi atau penguatan positif,appreciation,Talking_5,Memberikan penghargaan terhadap jawaban atau partisipasi,id,synthetic_initial_dataset
idle_013,Saya akan menunggu respons dari Anda.,menunggu atau transisi,idle,Idle,Diam atau menunggu input berikutnya,id,synthetic_initial_dataset
idle_027,Silakan lanjutkan jika ada hal yang ingin ditanyakan.,menunggu atau transisi,idle,Idle,Diam atau menunggu input berikutnya,id,synthetic_initial_dataset
emphasis_021,"Inti dari materi ini adalah hubungan antara data, proses, dan informasi.",penekanan konsep penting,emphasis,Talking_1,Memberikan penekanan pada poin utama,id,synthetic_initial_dataset
instruction_031,Silakan buka modul pembelajaran pada bagian pemrograman web.,instruksi tugas atau aktivitas,instruction,Talking_4,Memberikan instruksi kepada siswa,id,synthetic_initial_dataset
idle_007,Silakan ketik pertanyaan berikutnya.,menunggu atau transisi,idle,Idle,Diam atau menunggu input berikutnya,id,synthetic_initial_dataset
pointing_009,Lihat bagian ini untuk memahami alur jaringan komputer.,penunjukan objek atau bagian visual,pointing,Pointing,"Menunjuk diagram, gambar, papan, atau bagian penting",id,synthetic_initial_dataset
emphasis_016,Poin utama yang harus Anda ingat adalah fungsi sistem dalam organisasi.,penekanan konsep penting,emphasis,Talking_1,Memberikan penekanan pada poin utama,id,synthetic_initial_dataset
emphasis_022,Bagian ini sangat penting untuk dipahami.,penekanan konsep penting,emphasis,Talking_1,Memberikan penekanan pada poin utama,id,synthetic_initial_dataset
appreciation_014,"Sangat baik, contoh yang Anda berikan relevan.",apresiasi atau penguatan positif,appreciation,Talking_5,Memberikan penghargaan terhadap jawaban atau partisipasi,id,synthetic_initial_dataset
pointing_015,Perhatikan diagram basis data yang terlihat pada layar.,penunjukan objek atau bagian visual,pointing,Pointing,"Menunjuk diagram, gambar, papan, atau bagian penting",id,synthetic_initial_dataset
emphasis_029,Catat bahwa kualitas informasi sangat dipengaruhi oleh kualitas data.,penekanan konsep penting,emphasis,Talking_1,Memberikan penekanan pada poin utama,id,synthetic_initial_dataset
instruction_010,Silakan buka modul pembelajaran pada bagian data mining.,instruksi tugas atau aktivitas,instruction,Talking_4,Memberikan instruksi kepada siswa,id,synthetic_initial_dataset
correction_026,Mari kita ulangi lagi agar konsepnya lebih jelas.,koreksi atau umpan balik perbaikan,correction,Talking_7,Memberikan koreksi atau klarifikasi,id,synthetic_initial_dataset
correction_012,"Jawaban tersebut mendekati benar, tetapi perlu dilengkapi.",koreksi atau umpan balik perbaikan,correction,Talking_7,Memberikan koreksi atau klarifikasi,id,synthetic_initial_dataset
correction_040,"Jawaban Anda belum sepenuhnya tepat, mari kita perbaiki bersama.",koreksi atau umpan balik perbaikan,correction,Talking_7,Memberikan koreksi atau klarifikasi,id,synthetic_initial_dataset
pointing_024,Lihat bagian ini untuk memahami alur jaringan komputer.,penunjukan objek atau bagian visual,pointing,Pointing,"Menunjuk diagram, gambar, papan, atau bagian penting",id,synthetic_initial_dataset
explain_017,"Dalam pembelajaran ini, kecerdasan buatan akan dijelaskan melalui beberapa tahapan.",penjelasan materi,explain,Talking_6,Menjelaskan konsep atau materi pembelajaran,id,synthetic_initial_dataset
explain_036,arsitektur komputer adalah konsep yang digunakan untuk mengelola data dan informasi.,penjelasan materi,explain,Talking_6,Menjelaskan konsep atau materi pembelajaran,id,synthetic_initial_dataset
greeting_024,"Assalamualaikum, mari kita mulai kelas tentang sistem pendukung keputusan.",pembuka pembelajaran,greeting,Greeting,Menyapa dan membuka interaksi pembelajaran,id,synthetic_initial_dataset
greeting_005,"Selamat datang, hari ini kita akan membahas basis data.",pembuka pembelajaran,greeting,Greeting,Menyapa dan membuka interaksi pembelajaran,id,synthetic_initial_dataset
appreciation_003,"Luar biasa, Anda dapat menjelaskan dengan runtut.",apresiasi atau penguatan positif,appreciation,Talking_5,Memberikan penghargaan terhadap jawaban atau partisipasi,id,synthetic_initial_dataset
closing_033,"Pembelajaran hari ini selesai, silakan pelajari kembali materinya.",penutup pembelajaran,closing,Waving,Menutup sesi pembelajaran,id,synthetic_initial_dataset
appreciation_019,"Hebat, Anda sudah memahami konsep arsitektur komputer.",apresiasi atau penguatan positif,appreciation,Talking_5,Memberikan penghargaan terhadap jawaban atau partisipasi,id,synthetic_initial_dataset
instruction_023,Kerjakan soal latihan secara mandiri selama sepuluh menit.,instruksi tugas atau aktivitas,instruction,Talking_4,Memberikan instruksi kepada siswa,id,synthetic_initial_dataset
correction_018,"Jawaban Anda belum sepenuhnya tepat, mari kita perbaiki bersama.",koreksi atau umpan balik perbaikan,correction,Talking_7,Memberikan koreksi atau klarifikasi,id,synthetic_initial_dataset
emphasis_002,Bagian ini sangat penting untuk dipahami.,penekanan konsep penting,emphasis,Talking_1,Memberikan penekanan pada poin utama,id,synthetic_initial_dataset
instruction_017,Silakan kerjakan latihan tentang cloud computing setelah penjelasan ini.,instruksi tugas atau aktivitas,instruction,Talking_4,Memberikan instruksi kepada siswa,id,synthetic_initial_dataset
correction_029,Mari kita ulangi lagi agar konsepnya lebih jelas.,koreksi atau umpan balik perbaikan,correction,Talking_7,Memberikan koreksi atau klarifikasi,id,synthetic_initial_dataset
idle_003,Silakan lanjutkan jika ada hal yang ingin ditanyakan.,menunggu atau transisi,idle,Idle,Diam atau menunggu input berikutnya,id,synthetic_initial_dataset
appreciation_027,Jawaban tersebut benar dan sesuai dengan materi.,apresiasi atau penguatan positif,appreciation,Talking_5,Memberikan penghargaan terhadap jawaban atau partisipasi,id,synthetic_initial_dataset
correction_017,Bagian ini perlu dikoreksi karena masih kurang sesuai.,koreksi atau umpan balik perbaikan,correction,Talking_7,Memberikan koreksi atau klarifikasi,id,synthetic_initial_dataset
pointing_025,Bagian yang saya tunjukkan menjelaskan hubungan antar komponen.,penunjukan objek atau bagian visual,pointing,Pointing,"Menunjuk diagram, gambar, papan, atau bagian penting",id,synthetic_initial_dataset
instruction_025,Perhatikan instruksi berikut sebelum mengerjakan tugas.,instruksi tugas atau aktivitas,instruction,Talking_4,Memberikan instruksi kepada siswa,id,synthetic_initial_dataset
closing_002,Terima kasih atas perhatian Anda dalam pembelajaran hari ini.,penutup pembelajaran,closing,Waving,Menutup sesi pembelajaran,id,synthetic_initial_dataset
closing_001,Terima kasih atas perhatian Anda dalam pembelajaran hari ini.,penutup pembelajaran,closing,Waving,Menutup sesi pembelajaran,id,synthetic_initial_dataset
explain_009,Materi enterprise architecture menjelaskan bagaimana komponen saling berhubungan.,penjelasan materi,explain,Talking_6,Menjelaskan konsep atau materi pembelajaran,id,synthetic_initial_dataset
emphasis_013,Poin utama yang harus Anda ingat adalah fungsi sistem dalam organisasi.,penekanan konsep penting,emphasis,Talking_1,Memberikan penekanan pada poin utama,id,synthetic_initial_dataset
greeting_003,"Selamat pagi, hari ini kita akan mulai materi jaringan komputer.",pembuka pembelajaran,greeting,Greeting,Menyapa dan membuka interaksi pembelajaran,id,synthetic_initial_dataset
idle_002,Saya menunggu pertanyaan Anda berikutnya.,menunggu atau transisi,idle,Idle,Diam atau menunggu input berikutnya,id,synthetic_initial_dataset
explain_031,"Dalam pembelajaran ini, pemrograman web akan dijelaskan melalui beberapa tahapan.",penjelasan materi,explain,Talking_6,Menjelaskan konsep atau materi pembelajaran,id,synthetic_initial_dataset
appreciation_032,"Bagus, jawaban Anda sudah tepat.",apresiasi atau penguatan positif,appreciation,Talking_5,Memberikan penghargaan terhadap jawaban atau partisipasi,id,synthetic_initial_dataset
closing_034,Sampai jumpa pada pertemuan berikutnya.,penutup pembelajaran,closing,Waving,Menutup sesi pembelajaran,id,synthetic_initial_dataset
emphasis_033,Perlu diperhatikan bahwa jaringan komputer tidak hanya berkaitan dengan teknologi.,penekanan konsep penting,emphasis,Talking_1,Memberikan penekanan pada poin utama,id,synthetic_initial_dataset
correction_014,Coba perhatikan kembali definisi keamanan informasi.,koreksi atau umpan balik perbaikan,correction,Talking_7,Memberikan koreksi atau klarifikasi,id,synthetic_initial_dataset
correction_015,"Jawaban Anda belum sepenuhnya tepat, mari kita perbaiki bersama.",koreksi atau umpan balik perbaikan,correction,Talking_7,Memberikan koreksi atau klarifikasi,id,synthetic_initial_dataset
pointing_008,Silakan lihat tabel berikut untuk memahami contoh pemrograman web.,penunjukan objek atau bagian visual,pointing,Pointing,"Menunjuk diagram, gambar, papan, atau bagian penting",id,synthetic_initial_dataset
explain_027,"Dalam pembelajaran ini, basis data akan dijelaskan melalui beberapa tahapan.",penjelasan materi,explain,Talking_6,Menjelaskan konsep atau materi pembelajaran,id,synthetic_initial_dataset
appreciation_005,"Bagus, jawaban Anda sudah tepat.",apresiasi atau penguatan positif,appreciation,Talking_5,Memberikan penghargaan terhadap jawaban atau partisipasi,id,synthetic_initial_dataset
correction_024,Mari kita ulangi lagi agar konsepnya lebih jelas.,koreksi atau umpan balik perbaikan,correction,Talking_7,Memberikan koreksi atau klarifikasi,id,synthetic_initial_dataset
correction_030,"Jawaban Anda belum sepenuhnya tepat, mari kita perbaiki bersama.",koreksi atau umpan balik perbaikan,correction,Talking_7,Memberikan koreksi atau klarifikasi,id,synthetic_initial_dataset
closing_005,Terima kasih atas perhatian Anda dalam pembelajaran hari ini.,penutup pembelajaran,closing,Waving,Menutup sesi pembelajaran,id,synthetic_initial_dataset
explain_007,Materi cloud computing menjelaskan bagaimana komponen saling berhubungan.,penjelasan materi,explain,Talking_6,Menjelaskan konsep atau materi pembelajaran,id,synthetic_initial_dataset
closing_014,Sampai jumpa pada pertemuan berikutnya.,penutup pembelajaran,closing,Waving,Menutup sesi pembelajaran,id,synthetic_initial_dataset
appreciation_018,"Bagus, jawaban Anda sudah tepat.",apresiasi atau penguatan positif,appreciation,Talking_5,Memberikan penghargaan terhadap jawaban atau partisipasi,id,synthetic_initial_dataset
idle_040,Silakan ketik pertanyaan berikutnya.,menunggu atau transisi,idle,Idle,Diam atau menunggu input berikutnya,id,synthetic_initial_dataset
greeting_008,"Halo, selamat datang pada pembelajaran hari ini.",pembuka pembelajaran,greeting,Greeting,Menyapa dan membuka interaksi pembelajaran,id,synthetic_initial_dataset
pointing_007,Perhatikan komponen utama yang ditunjukkan pada gambar.,penunjukan objek atau bagian visual,pointing,Pointing,"Menunjuk diagram, gambar, papan, atau bagian penting",id,synthetic_initial_dataset
pointing_018,Perhatikan diagram keamanan informasi yang terlihat pada layar.,penunjukan objek atau bagian visual,pointing,Pointing,"Menunjuk diagram, gambar, papan, atau bagian penting",id,synthetic_initial_dataset
instruction_012,Silakan kerjakan latihan tentang data mining setelah penjelasan ini.,instruksi tugas atau aktivitas,instruction,Talking_4,Memberikan instruksi kepada siswa,id,synthetic_initial_dataset
emphasis_037,Bagian ini sangat penting untuk dipahami.,penekanan konsep penting,emphasis,Talking_1,Memberikan penekanan pada poin utama,id,synthetic_initial_dataset
emphasis_026,Perlu diperhatikan bahwa analisis sistem tidak hanya berkaitan dengan teknologi.,penekanan konsep penting,emphasis,Talking_1,Memberikan penekanan pada poin utama,id,synthetic_initial_dataset
pointing_039,Lihat bagian ini untuk memahami alur pemrograman web.,penunjukan objek atau bagian visual,pointing,Pointing,"Menunjuk diagram, gambar, papan, atau bagian penting",id,synthetic_initial_dataset
closing_021,"Demikian pembelajaran hari ini, sampai bertemu pada sesi berikutnya.",penutup pembelajaran,closing,Waving,Menutup sesi pembelajaran,id,synthetic_initial_dataset
explain_023,"Konsep kecerdasan buatan berkaitan dengan manusia, proses, data, dan teknologi.",penjelasan materi,explain,Talking_6,Menjelaskan konsep atau materi pembelajaran,id,synthetic_initial_dataset
pointing_036,Lihat bagian ini untuk memahami alur basis data.,penunjukan objek atau bagian visual,pointing,Pointing,"Menunjuk diagram, gambar, papan, atau bagian penting",id,synthetic_initial_dataset
appreciation_026,"Bagus, jawaban Anda sudah tepat.",apresiasi atau penguatan positif,appreciation,Talking_5,Memberikan penghargaan terhadap jawaban atau partisipasi,id,synthetic_initial_dataset
explain_032,kecerdasan buatan adalah konsep yang digunakan untuk mengelola data dan informasi.,penjelasan materi,explain,Talking_6,Menjelaskan konsep atau materi pembelajaran,id,synthetic_initial_dataset
explain_005,"Secara umum, jaringan komputer dapat dipahami sebagai bagian penting dalam proses bisnis.",penjelasan materi,explain,Talking_6,Menjelaskan konsep atau materi pembelajaran,id,synthetic_initial_dataset
emphasis_006,Catat bahwa kualitas informasi sangat dipengaruhi oleh kualitas data.,penekanan konsep penting,emphasis,Talking_1,Memberikan penekanan pada poin utama,id,synthetic_initial_dataset
instruction_006,Kerjakan soal latihan secara mandiri selama sepuluh menit.,instruksi tugas atau aktivitas,instruction,Talking_4,Memberikan instruksi kepada siswa,id,synthetic_initial_dataset
emphasis_018,Bagian ini sangat penting untuk dipahami.,penekanan konsep penting,emphasis,Talking_1,Memberikan penekanan pada poin utama,id,synthetic_initial_dataset
idle_035,Silakan ketik pertanyaan berikutnya.,menunggu atau transisi,idle,Idle,Diam atau menunggu input berikutnya,id,synthetic_initial_dataset
closing_019,Sampai jumpa pada pertemuan berikutnya.,penutup pembelajaran,closing,Waving,Menutup sesi pembelajaran,id,synthetic_initial_dataset
correction_008,"Jawaban Anda belum sepenuhnya tepat, mari kita perbaiki bersama.",koreksi atau umpan balik perbaikan,correction,Talking_7,Memberikan koreksi atau klarifikasi,id,synthetic_initial_dataset
emphasis_019,Bagian ini sangat penting untuk dipahami.,penekanan konsep penting,emphasis,Talking_1,Memberikan penekanan pada poin utama,id,synthetic_initial_dataset
pointing_011,Lihat bagian ini untuk memahami alur data mining.,penunjukan objek atau bagian visual,pointing,Pointing,"Menunjuk diagram, gambar, papan, atau bagian penting",id,synthetic_initial_dataset
appreciation_023,"Bagus, jawaban Anda sudah tepat.",apresiasi atau penguatan positif,appreciation,Talking_5,Memberikan penghargaan terhadap jawaban atau partisipasi,id,synthetic_initial_dataset
closing_026,Terima kasih atas perhatian Anda dalam pembelajaran hari ini.,penutup pembelajaran,closing,Waving,Menutup sesi pembelajaran,id,synthetic_initial_dataset
appreciation_036,"Luar biasa, Anda dapat menjelaskan dengan runtut.",apresiasi atau penguatan positif,appreciation,Talking_5,Memberikan penghargaan terhadap jawaban atau partisipasi,id,synthetic_initial_dataset
instruction_026,Perhatikan instruksi berikut sebelum mengerjakan tugas.,instruksi tugas atau aktivitas,instruction,Talking_4,Memberikan instruksi kepada siswa,id,synthetic_initial_dataset
appreciation_022,"Sangat baik, contoh yang Anda berikan relevan.",apresiasi atau penguatan positif,appreciation,Talking_5,Memberikan penghargaan terhadap jawaban atau partisipasi,id,synthetic_initial_dataset
explain_015,"Konsep cloud computing berkaitan dengan manusia, proses, data, dan teknologi.",penjelasan materi,explain,Talking_6,Menjelaskan konsep atau materi pembelajaran,id,synthetic_initial_dataset
correction_011,Coba perhatikan kembali definisi enterprise architecture.,koreksi atau umpan balik perbaikan,correction,Talking_7,Memberikan koreksi atau klarifikasi,id,synthetic_initial_dataset
idle_001,Silakan ketik pertanyaan berikutnya.,menunggu atau transisi,idle,Idle,Diam atau menunggu input berikutnya,id,synthetic_initial_dataset
greeting_007,"Halo, selamat datang pada pembelajaran hari ini.",pembuka pembelajaran,greeting,Greeting,Menyapa dan membuka interaksi pembelajaran,id,synthetic_initial_dataset
instruction_015,Kerjakan soal latihan secara mandiri selama sepuluh menit.,instruksi tugas atau aktivitas,instruction,Talking_4,Memberikan instruksi kepada siswa,id,synthetic_initial_dataset
correction_020,Mari kita ulangi lagi agar konsepnya lebih jelas.,koreksi atau umpan balik perbaikan,correction,Talking_7,Memberikan koreksi atau klarifikasi,id,synthetic_initial_dataset
closing_032,Sampai jumpa pada pertemuan berikutnya.,penutup pembelajaran,closing,Waving,Menutup sesi pembelajaran,id,synthetic_initial_dataset
instruction_030,Silakan kerjakan latihan tentang sistem informasi setelah penjelasan ini.,instruksi tugas atau aktivitas,instruction,Talking_4,Memberikan instruksi kepada siswa,id,synthetic_initial_dataset
idle_015,Silakan lanjutkan jika ada hal yang ingin ditanyakan.,menunggu atau transisi,idle,Idle,Diam atau menunggu input berikutnya,id,synthetic_initial_dataset
correction_033,"Jawaban tersebut mendekati benar, tetapi perlu dilengkapi.",koreksi atau umpan balik perbaikan,correction,Talking_7,Memberikan koreksi atau klarifikasi,id,synthetic_initial_dataset
instruction_018,Kerjakan soal latihan secara mandiri selama sepuluh menit.,instruksi tugas atau aktivitas,instruction,Talking_4,Memberikan instruksi kepada siswa,id,synthetic_initial_dataset
greeting_022,"Halo, selamat datang pada pembelajaran hari ini.",pembuka pembelajaran,greeting,Greeting,Menyapa dan membuka interaksi pembelajaran,id,synthetic_initial_dataset
explain_022,Materi manajemen proyek TI menjelaskan bagaimana komponen saling berhubungan.,penjelasan materi,explain,Talking_6,Menjelaskan konsep atau materi pembelajaran,id,synthetic_initial_dataset
emphasis_035,Poin utama yang harus Anda ingat adalah fungsi sistem dalam organisasi.,penekanan konsep penting,emphasis,Talking_1,Memberikan penekanan pada poin utama,id,synthetic_initial_dataset
explain_013,Materi basis data menjelaskan bagaimana komponen saling berhubungan.,penjelasan materi,explain,Talking_6,Menjelaskan konsep atau materi pembelajaran,id,synthetic_initial_dataset
emphasis_005,"Inti dari materi ini adalah hubungan antara data, proses, dan informasi.",penekanan konsep penting,emphasis,Talking_1,Memberikan penekanan pada poin utama,id,synthetic_initial_dataset
greeting_039,"Assalamualaikum, mari kita mulai kelas tentang jaringan komputer.",pembuka pembelajaran,greeting,Greeting,Menyapa dan membuka interaksi pembelajaran,id,synthetic_initial_dataset
pointing_022,Perhatikan diagram sistem pendukung keputusan yang terlihat pada layar.,penunjukan objek atau bagian visual,pointing,Pointing,"Menunjuk diagram, gambar, papan, atau bagian penting",id,synthetic_initial_dataset
appreciation_004,"Luar biasa, Anda dapat menjelaskan dengan runtut.",apresiasi atau penguatan positif,appreciation,Talking_5,Memberikan penghargaan terhadap jawaban atau partisipasi,id,synthetic_initial_dataset
instruction_033,Silakan kerjakan latihan tentang data mining setelah penjelasan ini.,instruksi tugas atau aktivitas,instruction,Talking_4,Memberikan instruksi kepada siswa,id,synthetic_initial_dataset
closing_013,Terima kasih atas perhatian Anda dalam pembelajaran hari ini.,penutup pembelajaran,closing,Waving,Menutup sesi pembelajaran,id,synthetic_initial_dataset
idle_018,Silakan lanjutkan jika ada hal yang ingin ditanyakan.,menunggu atau transisi,idle,Idle,Diam atau menunggu input berikutnya,id,synthetic_initial_dataset
explain_016,Materi keamanan informasi menjelaskan bagaimana komponen saling berhubungan.,penjelasan materi,explain,Talking_6,Menjelaskan konsep atau materi pembelajaran,id,synthetic_initial_dataset
emphasis_040,Poin utama yang harus Anda ingat adalah fungsi sistem dalam organisasi.,penekanan konsep penting,emphasis,Talking_1,Memberikan penekanan pada poin utama,id,synthetic_initial_dataset
pointing_004,Perhatikan komponen utama yang ditunjukkan pada gambar.,penunjukan objek atau bagian visual,pointing,Pointing,"Menunjuk diagram, gambar, papan, atau bagian penting",id,synthetic_initial_dataset
closing_022,"Pembelajaran hari ini selesai, silakan pelajari kembali materinya.",penutup pembelajaran,closing,Waving,Menutup sesi pembelajaran,id,synthetic_initial_dataset
pointing_006,Perhatikan diagram enterprise architecture yang terlihat pada layar.,penunjukan objek atau bagian visual,pointing,Pointing,"Menunjuk diagram, gambar, papan, atau bagian penting",id,synthetic_initial_dataset
instruction_029,Perhatikan instruksi berikut sebelum mengerjakan tugas.,instruksi tugas atau aktivitas,instruction,Talking_4,Memberikan instruksi kepada siswa,id,synthetic_initial_dataset
emphasis_012,Poin utama yang harus Anda ingat adalah fungsi sistem dalam organisasi.,penekanan konsep penting,emphasis,Talking_1,Memberikan penekanan pada poin utama,id,synthetic_initial_dataset
appreciation_039,"Hebat, Anda sudah memahami konsep enterprise architecture.",apresiasi atau penguatan positif,appreciation,Talking_5,Memberikan penghargaan terhadap jawaban atau partisipasi,id,synthetic_initial_dataset
pointing_032,Perhatikan komponen utama yang ditunjukkan pada gambar.,penunjukan objek atau bagian visual,pointing,Pointing,"Menunjuk diagram, gambar, papan, atau bagian penting",id,synthetic_initial_dataset
idle_019,Saya akan menunggu respons dari Anda.,menunggu atau transisi,idle,Idle,Diam atau menunggu input berikutnya,id,synthetic_initial_dataset
explain_019,Materi jaringan komputer menjelaskan bagaimana komponen saling berhubungan.,penjelasan materi,explain,Talking_6,Menjelaskan konsep atau materi pembelajaran,id,synthetic_initial_dataset
correction_003,Coba perhatikan kembali definisi manajemen proyek TI.,koreksi atau umpan balik perbaikan,correction,Talking_7,Memberikan koreksi atau klarifikasi,id,synthetic_initial_dataset
explain_025,Materi keamanan informasi menjelaskan bagaimana komponen saling berhubungan.,penjelasan materi,explain,Talking_6,Menjelaskan konsep atau materi pembelajaran,id,synthetic_initial_dataset
emphasis_003,Bagian ini sangat penting untuk dipahami.,penekanan konsep penting,emphasis,Talking_1,Memberikan penekanan pada poin utama,id,synthetic_initial_dataset
explain_039,Materi sistem pendukung keputusan menjelaskan bagaimana komponen saling berhubungan.,penjelasan materi,explain,Talking_6,Menjelaskan konsep atau materi pembelajaran,id,synthetic_initial_dataset
greeting_011,"Selamat datang, hari ini kita akan membahas keamanan informasi.",pembuka pembelajaran,greeting,Greeting,Menyapa dan membuka interaksi pembelajaran,id,synthetic_initial_dataset
pointing_023,Silakan lihat tabel berikut untuk memahami contoh sistem pendukung keputusan.,penunjukan objek atau bagian visual,pointing,Pointing,"Menunjuk diagram, gambar, papan, atau bagian penting",id,synthetic_initial_dataset
emphasis_007,"Inti dari materi ini adalah hubungan antara data, proses, dan informasi.",penekanan konsep penting,emphasis,Talking_1,Memberikan penekanan pada poin utama,id,synthetic_initial_dataset
greeting_016,"Selamat pagi, hari ini kita akan mulai materi manajemen proyek TI.",pembuka pembelajaran,greeting,Greeting,Menyapa dan membuka interaksi pembelajaran,id,synthetic_initial_dataset
greeting_021,"Halo, selamat datang pada pembelajaran hari ini.",pembuka pembelajaran,greeting,Greeting,Menyapa dan membuka interaksi pembelajaran,id,synthetic_initial_dataset
greeting_036,"Selamat pagi, hari ini kita akan mulai materi enterprise architecture.",pembuka pembelajaran,greeting,Greeting,Menyapa dan membuka interaksi pembelajaran,id,synthetic_initial_dataset
