annotation_id,session_id,timestamp,user_input,ai_response,predicted_gesture,predicted_gesture_sequence,confidence,audio_duration,animation_clip,lip_sync_file,pedagogical_context,gold_gesture_label,gold_gesture_sequence,gesture_function,suitability_score,naturalness_score,sync_score,engagement_support_score,annotator_name,validation_status,notes
"SES-1780506776296","SES-1780506776296","2026-06-03T17:12:56.297Z","jawaban saya sudah benar belum bu","Belum tepat, jawabannya tergantung dari kualitas dan akurasi informasinya.","SHAKING_HEAD_NO","SHAKING_HEAD_NO|SHAKING_HEAD_NO|SHAKING_HEAD_NO","0.1027","6.192","SHAKING_HEAD_NO","audios/generated.json","","","","","","","","","","system-log",""
"SES-1780506986517","SES-1780506986517","2026-06-03T17:16:26.518Z","Selamat malam bu, apakah ada tugas hari ini","Tidak, tidak ada tugas untuk hari ini. Kami akan melanjutkan ke materi baru besok.","TALKING","TALKING|Talking_1|Talking_3","0.0676","6.84","TALKING","audios/generated.json","","","","","","","","","","system-log",""
"SES-1780507105817","SES-1780507105817","2026-06-03T17:18:25.817Z","dasar pengambilan keputusan apa maksudnya bu","Dasar pengambilan keputusan adalah prinsip dasar untuk membuat keputusan yang tepat. Ia mengacu pada kriteria dan konsekuensi yang diketahui sebelumnya, sehingga memungkinkan kita membuat pilihan yang logis dan efektif.","TALKING","TALKING|Talking_1|terbuka|Talking_0|Talking_4|normal","0.0718","16.632","TALKING","audios/generated.json","","","","","","","","","","system-log",""
"SES-1780507213094","SES-1780507213094","2026-06-03T17:20:13.095Z","pentingnya memahami materi ini apa bu","Memahami materi ini sangat penting karena dasar konsepnya akan membantu Anda mengerti topik-topik lain yang terkait.","TALKING","TALKING|Talking_7|Talking_6|menjelaskan_normal","0.0717","9.216","TALKING","audios/generated.json","","","","","","","","","","system-log",""
"SES-1780507337481","SES-1780507337481","2026-06-03T17:22:17.481Z","terimakasih banyak atas pelajaran hari ini bu","Saya senang mendengar bahwa Anda menikmati pelajaran hari ini!","TALKING","TALKING|Talking_4","0.0736","5.472","TALKING","audios/generated.json","","","","","","","","","","system-log",""
"SES-1780507564946","SES-1780507564946","2026-06-03T17:26:04.947Z","assalamualaikum apa kabar bu","Saya baik-baik saja, terima kasih!","THANKFUL","THANKFUL|normal","0.1025","3.408","THANKFUL","audios/generated.json","","","","","","","","","","system-log",""
"SES-1780853529455","SES-1780853529455","2026-06-07T17:32:09.456Z","Mari kita hitung langkah-langkahnya satu per satu","Let's break it down step by step. What is the first step we need to take?","COUNTING","COUNTING|COUNTING|COUNTING","0.0605","5.784","COUNTING","audios/generated.json","","","","","","","","","","system-log",""
"SES-1780853756540","SES-1780853756540","2026-06-07T17:35:56.540Z","saya ingin bertanya ","Siap membantu!","THANKFUL","THANKFUL|THANKFUL","0.0718","1.584","THANKFUL","audios/generated.json","","","","","","","","","","system-log",""
"SES-1780854008151","SES-1780854008151","2026-06-07T17:40:08.153Z","Mari kita hitung langkah-langkahnya satu per satu","Saya siap membantu! Langkah pertama apa yang kita akan hitung?","COUNTING","COUNTING|COUNTING|COUNTING","0.0672","4.56","COUNTING","audios/generated.json","","","","","","","","","","system-log",""
"SES-1780854714829","SES-1780854714829","2026-06-07T17:51:54.830Z","jika ingin bertanya boleh angkat tangan bu","Ya, silakan angkat tangan Anda!","HAND_RAISING","HAND_RAISING|HAND_RAISING|HAND_RAISING","0.1053","2.88","HAND_RAISING","audios/generated.json","","","","","","","","","","system-log",""
"SES-1780856242514","SES-1780856242514","2026-06-07T18:17:22.523Z","Jelaskan langkah-langkah menghitung luas persegi panjang, lalu tunjukkan bagian panjang dan lebarnya, kemudian bandingkan dengan luas persegi.","Saya akan menjelaskan langkah-langkah menghitung luas persegi panjang. Pertama, kita perlu mengetahui panjang (P) dan lebar (L) persegi panjang.","COUNTING","COUNTING|TALKING_OPEN_HAND|TALKING_EXPLAINING|TALKING_PRESENTING","0.0741","10.8","COUNTING","audios/generated.json","","","","","","","","","","system-log",""
"SES-1780891293416","SES-1780891293416","2026-06-08T04:01:33.417Z","Assalamualaikum apa kabar hari ini bu? ","Selamat datang! Hari ini baik, terima kasih untuk pertanyaanmu.","STANDING_GREETING","STANDING_GREETING|THANKFUL","0.1034","4.896","STANDING_GREETING","audios/generated.json","","","","","","","","","","system-log",""
"SES-1780891369093","SES-1780891369093","2026-06-08T04:02:49.094Z","Selamat Pagi bu, apa kabar hari ini?","Halo! Semua baik, siap untuk belajar hari ini!","STANDING_GREETING","STANDING_GREETING|TALKING_OPEN_HAND","0.0904","3.888","STANDING_GREETING","audios/generated.json","","","","","","","","","","system-log",""
"SES-1780891446847","SES-1780891446847","2026-06-08T04:04:06.847Z","Materi apa yang akan dipelajari hari ini ","Halo! Hari ini, kita akan mempelajari materi tentang ...","STANDING_GREETING","STANDING_GREETING|TALKING_OPEN_HAND","0.1027","4.44","STANDING_GREETING","audios/generated.json","","","","","","","","","","system-log",""
"SES-1780891541019","SES-1780891541019","2026-06-08T04:05:41.020Z","apa itu sistem informasi bu? contohnya","Sistem informasi adalah suatu sistem yang digunakan untuk mengumpulkan, memproses, dan menyimpan data dalam bentuk digital. Contohnya, seperti aplikasi perbankan online yang memungkinkan Anda untuk melihat saldo dan melakukan transaksi.","TALKING_EXPLAINING","TALKING_EXPLAINING|TALKING_OPEN_HAND|TALKING_EXPLAINING|TALKING_PRESENTING|TALKING_ARGUMEN|TALKING_OPEN_HAND|TALKING_EXPLAINING","0.0699","19.728","TALKING_EXPLAINING","audios/generated.json","","","","","","","","","","system-log",""
"SES-1780891698313","SES-1780891698313","2026-06-08T04:08:18.314Z","sebutkan langkah-langkah membuat sistem","Saya akan menjelaskan langkah-langkah membuat sistem dengan cara yang mudah dipahami. Pertama, kita perlu menentukan tujuan dari sistem tersebut.","COUNTING","COUNTING|TALKING_OPEN_HAND|TALKING_EXPLAINING|TALKING_PRESENTING","0.083","10.8","COUNTING","audios/generated.json","","","","","","","","","","system-log",""
"SES-1780895162984","SES-1780895162984","2026-06-08T05:06:02.986Z","Selamat siang Bu belajar apa kita hari ini?","Selamat siang! Hari ini kita akan belajar tentang topik penting di matematika.","STANDING_GREETING","STANDING_GREETING|TALKING_OPEN_HAND|TALKING_EXPLAINING","0.1138","6.12","STANDING_GREETING","audios/generated.json","","","","","","","","","","system-log",""
"SES-1780895448680","SES-1780895448680","2026-06-08T05:10:48.681Z","apakah saya boleh bertanya dengan cara bagaimana bu","Tentu saja, Anda dapat bertanya dengan cara apapun! Saya siap membantu menjawab pertanyaan Anda.","TALKING_COMPARING","TALKING_COMPARING|TALKING_OPEN_HAND|TALKING_EXPLAINING","0.071","7.488","TALKING_COMPARING","audios/generated.json","","","","","","","","","","system-log",""
"SES-1780895526815","SES-1780895526815","2026-06-08T05:12:06.815Z","saya angkat tangan boleh untuk bertanya bu","Saya tunggu pertanyaan Anda!","HAND_RAISING","HAND_RAISING","0.0819","2.328","HAND_RAISING","audios/generated.json","","","","","","","","","","system-log",""
"SES-1780895728152","SES-1780895728152","2026-06-08T05:15:28.152Z","bagaimana membandingkan hasil sebelum dan sesudah optimasi untuk melihat peningkatannya?","Untuk membandingkan hasil sebelum dan sesudah optimasi, Anda dapat membuat tabel atau grafik yang menampilkan data sebelum dan setelah optimasi. Dengan demikian, Anda dapat dengan mudah melihat perbedaan antara keduanya dan menghitung peningkatan hasilnya.","TALKING_COMPARING","TALKING_COMPARING|TALKING_OPEN_HAND|TALKING_EXPLAINING|TALKING_PRESENTING|TALKING_ARGUMEN|TALKING_OPEN_HAND|TALKING_EXPLAINING","0.1053","20.328","TALKING_COMPARING","audios/generated.json","","","","","","","","","","system-log",""
"SES-1780895938238","SES-1780895938238","2026-06-08T05:18:58.238Z","apakah betul metode digital lebih baik dibandingkan manual","Metode digital memang memiliki kelebihan sendiri, seperti kemampuan untuk mengelola data dengan cepat dan efisien. Namun, tidak dapat disangkal bahwa metode manual juga memiliki manfaatnya sendiri, terutama dalam hal keterkaitan dengan manusia.","TALKING_COMPARING","TALKING_COMPARING|TALKING_OPEN_HAND|TALKING_EXPLAINING|TALKING_PRESENTING|TALKING_ARGUMEN|TALKING_OPEN_HAND|TALKING_EXPLAINING","0.0945","19.224","TALKING_COMPARING","audios/generated.json","","","","","","","","","","system-log",""
"SES-1780896101278","SES-1780896101278","2026-06-08T05:21:41.278Z","apakah ibu setuju ","Ya, saya setuju!","HEAD_NOD_YES","HEAD_NOD_YES","0.091","2.208","HEAD_NOD_YES","audios/generated.json","","","","","","","","","","system-log",""
"SES-1780896133135","SES-1780896133135","2026-06-08T05:22:13.135Z","apakah ibu setuju?","Ya, saya setuju!","HEAD_NOD_YES","HEAD_NOD_YES","0.091","2.208","HEAD_NOD_YES","audios/generated.json","","","","","","","","","","system-log",""
"SES-1780896329886","SES-1780896329886","2026-06-08T05:25:29.886Z","Terimakasih bu atas materi pelajaran hari ini","Selamat! Terima kasih juga untuk Anda, karena telah menunjukkan minat dan kesadaran terhadap materi pelajaran.","STANDING_GREETING","STANDING_GREETING|THANKFUL|TALKING_OPEN_HAND","0.1097","8.352","STANDING_GREETING","audios/generated.json","","","","","","","","","","system-log",""
"SES-1780896481371","SES-1780896481371","2026-06-08T05:28:01.372Z","Apa yang terjadi jika salah satu komponen tidak bekerja sesuai fungsinya?","Komponen tidak bekerja sesuai fungsinya dapat menyebabkan sistem atau perangkat menjadi tidak stabil atau tidak berfungsi.","SHAKING_HEAD_NO","SHAKING_HEAD_NO|TALKING_OPEN_HAND|TALKING_EXPLAINING|TALKING_PRESENTING","0.097","9.72","SHAKING_HEAD_NO","audios/generated.json","","","","","","","","","","system-log",""
"SES-1780901288736","SES-1780901288736","2026-06-08T06:48:08.737Z","Jelaskan langkah-langkah menghitung luas persegi panjang, lalu tunjukkan bagian panjang dan lebarnya, kemudian bandingkan dengan luas persegi","Saya akan menjelaskan cara menghitung luas persegi panjang. Pertama, kita perlu mengetahui rumus luas persegi panjang yang adalah panjang x lebar.","COUNTING","COUNTING|TALKING_OPEN_HAND|TALKING_EXPLAINING|TALKING_PRESENTING","0.0752","11.904","COUNTING","audios/generated.json","","","","","","","","","","system-log",""
"SES-1780901437315","SES-1780901437315","2026-06-08T06:50:37.316Z","Bandingkan dua metode, berikan alasan yang mendukung, lalu simpulkan hasilnya di depan kelas","Saya setuju untuk membandingkan dua metode. Dalam soal ini, saya akan membandingkan dua metode dan memberikan alasan yang mendukung.","HEAD_NOD_YES","HEAD_NOD_YES|TALKING_COMPARING|TALKING_OPEN_HAND|TALKING_EXPLAINING","0.0714","10.656","HEAD_NOD_YES","audios/generated.json","","","","","","","","","","system-log",""
"SES-1780901511883","SES-1780901511883","2026-06-08T06:51:51.883Z","Berikan tepuk tangan kepada siswa, lalu ucapkan terima kasih atas partisipasinya","Tepuk tangan untuk Anda, sis! Terima kasih atas partisipasi yang aktif dan baik.","CLAPPING","CLAPPING|THANKFUL|TALKING_OPEN_HAND","0.1153","6.768","CLAPPING","audios/generated.json","","","","","","","","","","system-log",""
"SES-1780901692642","SES-1780901692642","2026-06-08T06:54:52.642Z","Berikan motivasi kepada siswa yang kesulitan, lalu jelaskan langkah penyelesaian secara bertahap","Saya percaya bahwa setiap orang memiliki potensi dan kemampuan untuk belajar dan meningkatkan diri. Jika Anda mengalami kesulitan, itu berarti Anda sedang mencoba sesuatu yang baru dan berharga.","TALKING_ARGUMEN","TALKING_ARGUMEN|SHAKING_HEAD_NO|TALKING_OPEN_HAND|TALKING_EXPLAINING|TALKING_PRESENTING|TALKING_ARGUMEN","0.0656","15.288","TALKING_ARGUMEN","audios/generated.json","","","","","","","","","","system-log",""
"SES-1780901883136","SES-1780901883136","2026-06-08T06:58:03.137Z","Berikan respons malu-malu saat menerima pujian, lalu lanjutkan penjelasan materi","Saya senang mendengar pujian dari Anda! Namun, sebagai guru, saya harus tetap fokus pada materi yang akan dipelajari.","TALKING_EXPLAINING","TALKING_EXPLAINING|TALKING_PRESENTING|TALKING_OPEN_HAND|TALKING_EXPLAINING","0.0807","9.72","TALKING_EXPLAINING","audios/generated.json","","","","","","","","","","system-log",""
"SES-1780902003142","SES-1780902003142","2026-06-08T07:00:03.142Z","selamat sing bu apa kabar","Halo! Saya baik-baik saja, terima kasih untuk pertanyaanmu.","STANDING_GREETING","STANDING_GREETING|THANKFUL","0.1031","4.896","STANDING_GREETING","audios/generated.json","","","","","","","","","","system-log",""
"SES-1780902255183","SES-1780902255183","2026-06-08T07:04:15.183Z","selamat siang apa kabar bu","Selamat siang! Saya baik-baik saja, terima kasih untuk pertanyaanmu.","STANDING_GREETING","STANDING_GREETING|THANKFUL","0.1034","5.304","STANDING_GREETING","audios/generated.json","","","","","","","","","","system-log",""
"SES-1780902421599","SES-1780902421599","2026-06-08T07:07:01.600Z","Jelaskan langkah-langkah menghitung luas persegi panjang","Saya menjelaskan langkah-langkah menghitung luas persegi panjang sebagai berikut. Pertama, Anda harus mengetahui panjang dan lebar persegi panjang.","COUNTING","COUNTING|TALKING_OPEN_HAND|TALKING_EXPLAINING|TALKING_PRESENTING","0.0747","11.184","COUNTING","audios/generated.json","","","","","","","","","","system-log",""
"SES-1780902614530","SES-1780902614530","2026-06-08T07:10:14.531Z","Bu Guru, sebelum mulai belajar, tolong sapa kami lalu jelaskan pengertian luas persegi panjang secara singkat dan tutup dengan ucapan terima kasih","Halo! Persegi panjang adalah bentuk geometri yang memiliki empat sisinya dan dua diagonal yang sama panjang.","STANDING_GREETING","STANDING_GREETING|TALKING_EXPLAINING|TALKING_OPEN_HAND","0.065","8.904","STANDING_GREETING","audios/generated.json","","","","","","","","","","system-log",""
"SES-1780902709852","SES-1780902709852","2026-06-08T07:11:49.852Z","Bu Guru, mohon buka pembelajaran hari ini, jelaskan tujuan belajar kita, lalu beri apresiasi kepada siswa yang sudah siap mengikuti kelas.","Selamat datang! Tujuan belajar kita hari ini adalah memahami konsep dasar [topik].","STANDING_GREETING","STANDING_GREETING|TALKING_EXPLAINING|TALKING_OPEN_HAND","0.0964","6.576","STANDING_GREETING","audios/generated.json","","","","","","","","","","system-log",""
"SES-1780902816909","SES-1780902816909","2026-06-08T07:13:36.909Z","Bu Guru, bantu saya menghitung luas bangun datar ini secara bertahap, tunjukkan bagian yang harus diperhatikan, lalu bandingkan hasilnya dengan contoh lain.","Saya dapat membantu Anda menghitung luas bangun datar tersebut. Pertama-tama, perhatikanlah sisi-sisinya dan kenali bagian-bagiannya.","COUNTING","COUNTING|POINTING|TALKING_OPEN_HAND|TALKING_EXPLAINING","0.0668","10.32","COUNTING","audios/generated.json","","","","","","","","","","system-log",""
"SES-1780902952985","SES-1780902952985","2026-06-08T07:15:52.986Z","Bu Guru, minta kami memikirkan jawaban yang tepat, lalu beri penjelasan singkat, kemudian beri kesempatan bertanya dengan mengangkat tangan","Saya senang melihat Anda siap untuk berdiskusi. Sebelum kita mulai, saya ingin menjelaskan konsep dasar yang perlu dipahami.","POINTING","POINTING|TALKING_EXPLAINING|TALKING_OPEN_HAND|TALKING_EXPLAINING","0.0692","10.272","POINTING","audios/generated.json","","","","","","","","","","system-log",""
"SES-1780903047771","SES-1780903047771","2026-06-08T07:17:27.771Z","Bu Guru, arahkan perhatian kami ke diagram yang ditampilkan, tunjukkan komponen utama, lalu jelaskan hubungan antar komponennya","Saya akan mengarahkan perhatian Anda ke bagian diagram yang ditampilkan. Perhatikan komponen utama, seperti [gestur pointing ke bagian diagram].","POINTING","POINTING|TALKING_OPEN_HAND|TALKING_EXPLAINING|TALKING_PRESENTING","0.0946","11.496","POINTING","audios/generated.json","","","","","","","","","","system-log",""
"SES-1780904485967","SES-1780904485967","2026-06-08T07:41:25.967Z","Bu Guru, minta kami melihat gambar di papan, tunjukkan bagian yang penting, kemudian jelaskan fungsi bagian tersebut","Saya perhatikan bagian pada papan dan tunjukkan bagian yang penting. Bagian itu berfungsi sebagai...","POINTING","POINTING|SHAKING_HEAD_NO|TALKING_OPEN_HAND","0.0917","8.064","POINTING","audios/generated.json","","","","","","","","","","system-log",""
"SES-1780905394288","SES-1780905394288","2026-06-08T07:56:34.289Z","Selamat siang bu apa materi hari ini","Halo! Materi hari ini adalah tentang Analisis Data.","STANDING_GREETING","STANDING_GREETING|TALKING_EXPLAINING","0.0761","4.296","STANDING_GREETING","audios/generated.json","","","","","","","","","","system-log",""
"SES-1780905912448","SES-1780905912448","2026-06-08T08:05:12.449Z","saya ingin bertanya bu","Selamat! Saya siap membantu Anda.","STANDING_GREETING","STANDING_GREETING|TALKING_OPEN_HAND","0.07","2.928","STANDING_GREETING","audios/generated.json","","","","","","","","","","system-log",""
"SES-1780906164938","SES-1780906164938","2026-06-08T08:09:24.938Z","Mohon jelaskan kembali perbedaan kedua metode tersebut bu","Perbedaan antara dua metode tersebut adalah sebagai berikut: Metode pertama adalah dengan menggunakan diagram atau gambar yang lebih mudah dipahami. Diagram ini dapat membantu siswa memahami konsep-konsep yang kompleks dan membuatnya lebih mudah untuk diingat.","TALKING_COMPARING","TALKING_COMPARING|POINTING|TALKING_OPEN_HAND|TALKING_EXPLAINING|TALKING_PRESENTING|TALKING_ARGUMEN|TALKING_OPEN_HAND","0.0836","20.568","TALKING_COMPARING","audios/generated.json","","","","","","","","","","system-log",""
"SES-1780906330736","SES-1780906330736","2026-06-08T08:12:10.737Z","Selamat Siang bu apa kabar? materi apa hari ini yang akan dipelajari terimakasih","Selamat siang! Materi hari ini adalah tentang [konsep/kelas].","STANDING_GREETING","STANDING_GREETING|TALKING_EXPLAINING","0.088","5.112","STANDING_GREETING","audios/generated.json","","","","","","","","","","system-log",""
"SES-1780907180938","SES-1780907180938","2026-06-08T08:26:20.938Z","bandingkan 2 metode kuantitatif dan kualitatif","Metode kuantitatif dan kualitatif adalah dua pendekatan yang berbeda dalam pengumpulan data dan analisis. Metode kuantitatif lebih fokus pada penggunaan angka dan statistik untuk mengumpulkan data, sementara metode kualitatif lebih fokus pada penggunaan kata-kata dan deskripsi untuk mengumpulkan data.","TALKING_EXPLAINING","TALKING_EXPLAINING|TALKING_COMPARING|TALKING_OPEN_HAND|TALKING_EXPLAINING|TALKING_PRESENTING|TALKING_ARGUMEN|TALKING_OPEN_HAND|TALKING_EXPLAINING","0.0894","24.84","TALKING_EXPLAINING","audios/generated.json","","","","","","","","","","system-log",""
